title,director,year,originalTitle
Dangerous When Wet,Charles Walters,1953,
Lili,Charles Walters,1953,
Island in the Sky,William Wellman,1953,
I Confess,Alfred Hitchcock,1953,
A Unicorn in the Garden,William T. Hurtz,1953,
Dangerous Crossing,Joseph M. Newman,1953,
All My Babies,George C. Stoney,1953,
The Band Wagon,Vincente Minnelli,1953,
Glen or Glenda?,Edward D. Wood Jr.,1953,
Salt of the Earth,Herbert J. Biberman,1953,
The End,Christopher Maclaine,1953,
Scotch Hop,Christopher Maclaine,1953,
Julius Caesar,Joseph L. Mankiewicz,1953,
The Adventures of Hajji Baba,Don Weis,1954,
The Other Woman,Hugo Haas,1954,
The Mad Magician,John Brahm,1954,
Cattle Queen of Montana,Allan Dwan,1954,
Silver Lode,Allan Dwan,1954,
On the Waterfront,Elia Kazan,1954,
Human Desire,Fritz Lang,1954,
Private Hell 36,Don Siegel,1954,
Riot in Cell Block 11,Don Siegel,1954,
Suddenly,Lewis Allen,1954,
Creature From the Black Lagoon,Jack Arnold,1954,
Beat the Devil,John Huston,1954,
There's No Business Like Show Business,Walter Lang,1954,
The Bridges at Toko-Ri,Mark Robson,1954,
Rogue Cop,Roy Rowland,1954,
Witness to Murder,Roy Rowland,1954,
Executive Suite,Robert Wise,1954,
Hell's Half Acre,John H. Auer,1954,
It Should Happen to You,George Cukor,1954,
A Star is Born,George Cukor,1954,
Demetrius and the Gladiators,Delmer Daves,1954,
Drum Beat,Delmer Daves,1954,
The Naked Jungle,Byron Haskin,1954,
Naked Alibi,Jerry Hopper,1954,
Highway Dragnet,Nathan Juran,1954,
The Glenn Miller Story,Anthony Mann,1954,
Johnny Guitar,Nicholas Ray,1954,
Magnificent Obsession,Douglas Sirk,1954,
Sign of the Pagan,Douglas Sirk,1954,
Cry Vengeance,Mark Stevens,1954,
Jazz Dance,Roger Tilton,1954,
Sabrina,Billy Wilder,1954,
Inauguration of the Pleasure Dome,Kenneth Anger,1954,
Desistfilm,Stan Brakhage,1954,
Crime Wave,AndrÈ de Toth,1954,
Seven Brides for Seven Brothers,Stanley Donen,1954,
Hell and High Water,Samuel Fuller,1954,
Cat Women of the Moon,Arthur Hilton,1954,
Jivaro,Edward Ludwig,1954,
Playgirl,Joseph Pevney,1954,
Drive a Crooked Road,Richard Quine,1954,
Pushover,Richard Quine,1954,
A Time Out of War,Denis Sanders,1954,
The Country Girl,George Seaton,1954,
Apache,Robert Aldrich,1954,
Vera Cruz,Robert Aldrich,1954,
World for Ransom,Robert Aldrich,1954,
The Last Time I Saw Paris,Richard Brooks,1954,
The Egyptian,Michael Curtiz,1954,
White Christmas,Michael Curtiz,1954,
Broken Lance,Edward Dmytryk,1954,
The Caine Mutiny,Edward Dmytryk,1954,
Them!,Gordon Douglas,1954,
Young at Heart,Gordon Douglas,1954,
Black Tuesday,Hugo Fregonese,1954,
The Raid,Hugo Fregonese,1954,
Garden of Evil,Henry Hathaway,1954,
Prince Valiant,Henry Hathaway,1954,
Three Coins in the Fountain,Jean Negulesco,1954,
Woman's World,Jean Negulesco,1954,
Carmen Jones,Otto Preminger,1954,
River of No Return,Otto Preminger,1954,
The Long Wait,Victor Saville,1954,
The Silver Chalice,Victor Saville,1954,
The Student Prince,Richard Thorpe,1954,
Red Garters,George Marshall,1954,
The High and the Mighty,William Wellman,1954,
Track of the Cat,William Wellman,1954,
Dial M for Murder,Alfred Hitchcock,1954,
Rear Window,Alfred Hitchcock,1954,
Black Widow,Nunnally Johnson,1954,
Night People,Nunnally Johnson,1954,
The Human Jungle,Joseph M. Newman,1954,
"20,000 Leagues Under the Sea 20",Richard Fleischer,1954,
Brigadoon,Vincente Minnelli,1954,
The Long,Vincente Minnelli,1954,
Make Haste to Live,William A. Seiter,1954,
Loophole,Harold D. Schuster,1954,
Jail Bait,Edward D. Wood Jr.,1954,
The Barefoot Contessa,Joseph L. Mankiewicz,1954,
The Legend of Rockabye Point,Tex Avery,1955,
The Long Gray Line,John Ford,1955,
Pete Kelly's Blues,Jack Webb,1955,
Pearl of the South Pacific,Allan Dwan,1955,
Tennessee's Partner,Allan Dwan,1955,
East of Eden,Elia Kazan,1955,
Love is a Many-Splendored Thing,Henry King,1955,
Moonfleet,Fritz Lang,1955,
Summertime,David Lean,1955,
Man Without a Star,King Vidor,1955,
A Bullet for Joey,Lewis Allen,1955,
Illegal,Lewis Allen,1955,
Tarantula,Jack Arnold,1955,
Shack Out on 101,Edward Dein,1955,
One Froggy Evening,Chuck Jones,1955,
Teaserama,Irving Klaw,1955,
The Rose Tattoo,Daniel Mann,1955,
Dementia,John Parker,1955,
Battle Cry,Raoul Walsh,1955,
The Tall Men,Raoul Walsh,1955,
Helen of Troy,Robert Wise,1955,
The Bespoke Overcoat,Jack Clayton,1955,
Land of the Pharaohs,Howard Hawks,1955,
The Crooked Web,Nathan Juran,1955,
5 Against the House,Phil Karlson,1955,
Hell's Island,Phil Karlson,1955,
The Phenix City Story,Phil Karlson,1955,
Tight Spot,Phil Karlson,1955,
Picnic,Joshua Logan,1955,
The Far Country,Anthony Mann,1955,
The Last Frontier,Anthony Mann,1955,
The Man from Laramie,Anthony Mann,1955,
Marty,Delbert Mann,1955,
The Violent Men,Rudolph MatÈ,1955,
Rebel Without a Cause,Nicholas Ray,1955,
Run for Cover,Nicholas Ray,1955,
Women's Prison,Lewis Seiler,1955,
All That Heaven Allows,Douglas Sirk,1955,
Captain Lightfoot,Douglas Sirk,1955,
Bad Day at Black Rock,John Sturges,1955,
Son of Sinbad,Ted Tetzlaff,1955,
Female Jungle,Bruno VeSota,1955,
Storm Fear,Cornel Wilde,1955,
The Seven Year Itch,Billy Wilder,1955,
The Wonder Ring,Stan Brakhage,1955,
The Indian Fighter,AndrÈ de Toth,1955,
House of Bamboo,Samuel Fuller,1955,
Female on the Beach,Joseph Pevney,1955,
My Sister Eileen,Richard Quine,1955,
New York Confidential,Russell Rouse,1955,
The Naked Street,Maxwell Shane,1955,
Artists and Models,Frank Tashlin,1955,
Love Me or Leave Me,Charles Vidor,1955,
The Big Bluff,W. Lee Wilder,1955,
The Desperate Hours,William Wyler,1955,
The Big Knife,Robert Aldrich,1955,
Kiss Me Deadly,Robert Aldrich,1955,
Blackboard Jungle,Richard Brooks,1955,
Creature with the Atom Brain,Edward L. Cahn,1955,
I Died a Thousand Times,Stuart Heisler,1955,
Abbott and Costello Meet the Mummy,Charles Lamont,1955,
Daddy Long Legs,Jean Negulesco,1955,
The Man with the Golden Arm,Otto Preminger,1955,
The Treasure of Pancho Villa,George Sherman,1955,
Murder is My Beat,Edgar G. Ulmer,1955,
The Naked Dawn,Edgar G. Ulmer,1955,
Oklahoma!,Fred Zinnemann,1955,
Crashout,Lewis R. Foster,1955,
Killer's Kiss,Stanley Kubrick,1955,
The Big Combo,Joseph H. Lewis,1955,
A Lawless Street,Joseph H. Lewis,1955,
Cult of the Cobra,Francis D. Lyon,1955,
The Night Holds Terror,Andrew L. Stone,1955,
The Tender Trap,Charles Walters,1955,
Sudden Danger,Hubert Cornfield,1955,
Magic Fire,William Dieterle,1955,
To Catch a Thief,Alfred Hitchcock,1955,
The Trouble with Harry,Alfred Hitchcock,1955,
The Night of the Hunter,Charles Laughton,1955,
This Island Earth,Joseph M. Newman,1955,
Stranger on Horseback,Jacques Tourneur,1955,
Wichita,Jacques Tourneur,1955,
At Gunpoint,Alfred L. Werker,1955,
The Girl in the Red Velvet Swing,Richard Fleischer,1955,
Violent Saturday,Richard Fleischer,1955,
Queen Bee,Ranald MacDougall,1955,
The Cobweb,Vincente Minnelli,1955,
Kismet,Vincente Minnelli,1955,
Finger Man,Harold D. Schuster,1955,
Bride of the Monster,Edward D. Wood Jr.,1955,
Guys and Dolls,Joseph L. Mankiewicz,1955,
The Searchers,John Ford,1956,
Slightly Scarlet,Allan Dwan,1956,
Baby Doll,Elia Kazan,1956,
Carousel,Henry King,1956,
Beyond a Reasonable Doubt,Fritz Lang,1956,
While the City Sleeps,Fritz Lang,1956,
Rock! Rock,Will Price,1956,
Ransom,Alex Segal,1956,
Crime Against Joe,Lee Sholem,1956,
Crime in the Streets,Don Siegel,1956,
Invasion of the Body Snatchers,Don Siegel,1956,
The Great Man,Jose Ferrer,1956,
Moby Dick,John Huston,1956,
Accused of Murder,Joseph Kane,1956,
The King and I,Walter Lang,1956,
A Kiss Before Dying,Gerd Oswald,1956,
The Conqueror,Dick Powell,1956,
The Harder They Fall,Mark Robson,1956,
Number 11: Mirror Animations,Harry Smith,1956,
The King and Four Queens,Raoul Walsh,1956,
The Revolt of Mamie Stover,Raoul Walsh,1956,
Somebody Up There Likes Me,Robert Wise,1956,
Recreation,Robert Breer,1956,
Patterns,Fielder Cook,1956,
Day the World Ended,Roger Corman,1956,
It Conquered the World,Roger Corman,1956,
The Last Wagon,Delmer Daves,1956,
D-Day the Sixth of June,Henry Koster,1956,
The Bad Seed,Mervyn LeRoy,1956,
Bus Stop,Joshua Logan,1956,
Diane,David Miller,1956,
Bigger Than Life,Nicholas Ray,1956,
Hot Blood,Nicholas Ray,1956,
Over-Exposed,Lewis Seiler,1956,
There's Always Tomorrow,Douglas Sirk,1956,
Written on the Wind,Douglas Sirk,1956,
Timetable,Mark Stevens,1956,
Backlash,John Sturges,1956,
A Cry in the Night,Frank Tuttle,1956,
The [TV] Fountain of Youth,Orson Welles,1956,
Calling Homicide,Edward Bernds,1956,
Please Murder Me!,Peter Godfrey,1956,
Earth vs. the Flying Saucers,Fred F. Sears,1956,
Rock Around the Clock,Fred F. Sears,1956,
Nightmare,Maxwell Shane,1956,
The Eddy Duchin Story,George Sidney,1956,
The Girl Can't Help It,Frank Tashlin,1956,
Hollywood or Bust,Frank Tashlin,1956,
Pardners,Norman Taurog,1956,
Friendly Persuasion,William Wyler,1956,
Attack!,Robert Aldrich,1956,
Autumn Leaves,Robert Aldrich,1956,
Behind the High Wall,Abner Biberman,1956,
The Price of Fear,Abner Biberman,1956,
The Last Hunt,Richard Brooks,1956,
The Steel Jungle,Walter Doniger,1956,
The Bottom of the Bottle,Henry Hathaway,1956,
The Lone Ranger,Stuart Heisler,1956,
Anastasia,Anatole Litvak,1956,
Death of a Scoundrel,Charles Martin,1956,
On the Bowery,Lionel Rogosin,1956,
Giant,George Stevens,1956,
The Proud Ones,Robert D. Webb,1956,
Forbidden Planet,Fred M. Wilcox,1956,
The Man is Armed,Franklin Adreon,1956,
Terror at Midnight,Franklin Adreon,1956,
The Killer is Loose,Budd Boetticher,1956,
Seven Men from Now,Budd Boetticher,1956,
The Killing,Stanley Kubrick,1956,
Julie,Andrew L. Stone,1956,
High Society,Charles Walters,1956,
My Lady Good-bye,William Wellman,1956,
Around the World in 80 Days,Michael Anderson,1956,
The Come On,Russell Birdwell,1956,
The Ten Commandments,Cecil B. DeMille,1956,
Modesta,Benjamin Doniger,1956,
The Man Who Knew Too Much,Alfred Hitchcock,1956,
The Wrong Man,Alfred Hitchcock,1956,
Foreign Intrigue,Sheldon Reynolds,1956,
Great Day in the Morning,Jacques Tourneur,1956,
Between Heaven and Hell,Richard Fleischer,1956,
Lust for Life,Vincente Minnelli,1956,
Tea and Sympathy,Vincente Minnelli,1956,
The Wings of Eagles,John Ford,1957,
Hit and Run,Hugo Haas,1957,
The River's Edge,Allan Dwan,1957,
A Face in the Crowd,Elia Kazan,1957,
Invitation to the Dance,Gene Kelly,1957,
The Sun Also Rises,Henry King,1957,
From Hell it Came,Dan Milner,1957,
Baby Face Nelson,Don Siegel,1957,
The Incredible Shrinking Man,Jack Arnold,1957,
Man in the Shadow,Jack Arnold,1957,
The Tattered Dress,Jack Arnold,1957,
Hemo the Magnificent [TV],Frank Capra,1957,
Mr. Allison Heaven Knows,John Huston,1957,
Doc? What's Opera,Chuck Jones,1957,
Desk Set,Walter Lang,1957,
An Affair to Remember,Leo McCarey,1957,
Crime of Passion,Gerd Oswald,1957,
Fury at Showdown,Gerd Oswald,1957,
The Enemy Below,Dick Powell,1957,
Edge of the City,Martin Ritt,1957,
Peyton Place,Mark Robson,1957,
The [TV] Sound of Jazz,Jack Smight,1957,
Band of Angels,Raoul Walsh,1957,
A Man and His Dog Out for Air,Robert Breer,1957,
Short Cut to Hell,James Cagney,1957,
Attack of the Crab Monsters,Roger Corman,1957,
Not of This Earth,Roger Corman,1957,
Rock All Night,Roger Corman,1957,
Sorority Girl,Roger Corman,1957,
The Undead,Roger Corman,1957,
Viking Women and the Sea Serpent,Roger Corman,1957,
Les Girls,George Cukor,1957,
3:10 to Yuma,Delmer Daves,1957,
Birds Anonymous,Friz Freleng,1957,
20 Million Miles to Earth,Nathan Juran,1957,
Hellcats of the Navy,Nathan Juran,1957,
The Brothers Rico,Phil Karlson,1957,
Sayonara,Joshua Logan,1957,
12 Angry Men,Sidney Lumet,1957,
Men in War,Anthony Mann,1957,
The Tin Star,Anthony Mann,1957,
The Bachelor Party,Delbert Mann,1957,
Glimpse of the Garden,Marie Menken,1957,
Battle Hymn,Douglas Sirk,1957,
The Tarnished Angels,Douglas Sirk,1957,
Gunfight at the O.K. Corral,John Sturges,1957,
The Burglar,Paul Wendkos,1957,
Love in the Afternoon,Billy Wilder,1957,
The Spirit of St. Louis,Billy Wilder,1957,
Witness for the Prosecution,Billy Wilder,1957,
The Shadow on the Window,William Asher,1957,
Funny Face,Stanley Donen,1957,
Kiss Them for Me,Stanley Donen,1957,
China Gate,Samuel Fuller,1957,
Forty Guns,Samuel Fuller,1957,
Run of the Arrow,Samuel Fuller,1957,
The Midnight Story,Joseph Pevney,1957,
Island in the Sun,Robert Rossen,1957,
House of Numbers,Russell Rouse,1957,
Chicago Confidential,Sidney Salkow,1957,
The Giant Claw,Fred F. Sears,1957,
The Monolith Monsters,John Sherwood,1957,
Jeanne Eagels,George Sidney,1957,
Pal Joey,George Sidney,1957,
Will Success Spoil Rock Hunter?,Frank Tashlin,1957,
Yantra,James Whitney,1957,
The Night Runner,Abner Biberman,1957,
Motorcycle Gang,Edward L. Cahn,1957,
Fable for Fountains,Joseph Cornell,1957,
Saint Joan,Otto Preminger,1957,
Jailhouse Rock,Richard Thorpe,1957,
Footsteps in the Night,Jean Yarbrough,1957,
A Hatful of Rain,Fred Zinnemann,1957,
Decision at Sundown,Budd Boetticher,1957,
The Tall T,Budd Boetticher,1957,
Appointment with a Shadow,Richard Carlson,1957,
I Was a Teenage Werewolf,Gene Fowler Jr.,1957,
Paths of Glory,Stanley Kubrick,1957,
Fear Strikes Out,Robert Mulligan,1957,
The Garment Jungle,Vincent Sherman,1957,
Joe Dakota,Richard Bartlett,1957,
Plunder Road,Hubert Cornfield,1957,
The Three Faces of Eve,Nunnally Johnson,1957,
Silk Stockings,Rouben Mamoulian,1957,
Old Yeller,Robert Stevenson,1957,
Nightfall,Jacques Tourneur,1957,
Designing Woman,Vincente Minnelli,1957,
Beau James,Melville Shavelson,1957,
Jet Pilot,Josef von Sternberg,1957,
Sweet Smell of Success,Alexander Mackendrick,1957,
The Last Hurrah,John Ford,1958,
The Very Eye of Night,Maya Deren,1958,
tom thumb,George Pal,1958,
The Lineup,Don Siegel,1958,
White Wilderness,James Algar,1958,
High School Confidential!,Jack Arnold,1958,
The Space Children,Jack Arnold,1958,
I Bury the Living,Albert Band,1958,
Boys! Rally 'Round the Flag,Leo McCarey,1958,
Screaming Mimi,Gerd Oswald,1958,
The Left-Handed Gun,Arthur Penn,1958,
The Long Hot Summer,Martin Ritt,1958,
The Naked and the Dead,Raoul Walsh,1958,
I Want to Live!,Robert Wise,1958,
Run Deep Run Silent,Robert Wise,1958,
A Movie,Bruce Conner,1958,
Cowboy,Delmer Daves,1958,
The 7th Voyage of Sinbad,Nathan Juran,1958,
Attack of the 50 Ft. Woman,Nathan Juran,1958,
The Brain from Planet Arous,Nathan Juran,1958,
Step Down to Terror,Harry Keller,1958,
Go! Go,Paul Landres,1958,
South Pacific,Joshua Logan,1958,
Man of the West,Anthony Mann,1958,
Separate Tables,Delbert Mann,1958,
The Fly,Kurt Neumann,1958,
Party Girl,Nicholas Ray,1958,
Wind Across the Everglades,Nicholas Ray,1958,
A Time to Love and a Time to Die,Douglas Sirk,1958,
The Law and Jake Wade,John Sturges,1958,
Touch of Evil,Orson Welles,1958,
Damn Yankees,George Abbott,1958,
Cop Hater,William Berke,1958,
Queen of Outer Space,Edward Bernds,1958,
China Doll,Frank Borzage,1958,
Anticipation of the Night,Stan Brakhage,1958,
The Goddess,John Cromwell,1958,
Indiscreet,Stanley Donen,1958,
Murder by Contract,Irving Lerner,1958,
Book and Candle Bell,Richard Quine,1958,
Thunder Road,Arthur Ripley,1958,
The Geisha Boy,Frank Tashlin,1958,
Rock-a-Bye Baby,Frank Tashlin,1958,
The Big Country,William Wyler,1958,
The Brothers Karamazov,Richard Brooks,1958,
Cat on a Hot Tin Roof,Richard Brooks,1958,
King Creole,Michael Curtiz,1958,
Auntie Mame,Morton DaCosta,1958,
The Young Lions,Edward Dmytryk,1958,
The Fiend Who Walked the West,Gordon Douglas,1958,
From Hell to Texas,Henry Hathaway,1958,
The Defiant Ones,Stanley Kramer,1958,
The Bonnie Parker Story,William Witney,1958,
Buchanan Rides Alone,Budd Boetticher,1958,
I Married a Monster from Outer Space,Gene Fowler Jr.,1958,
The: Duel of Honor [TV] Rifleman,Joseph H. Lewis,1958,
Terror in a Texas Town,Joseph H. Lewis,1958,
Cry Terror!,Andrew L. Stone,1958,
Vertigo,Alfred Hitchcock,1958,
The Vikings,Richard Fleischer,1958,
Gigi,Vincente Minnelli,1958,
Some Came Running,Vincente Minnelli,1958,
Lonelyhearts,Vincent J. Donehue,1958,
Houseboat,Melville Shavelson,1958,
The Quiet American,Joseph L. Mankiewicz,1958,
The Blob,Irvin S. Yeaworth Jr.,1958,
The Horse Soldiers,John Ford,1959,
Beloved Infidel,Henry King,1959,
The Immoral Mr. Teas,Russ Meyer,1959,
Jazz on a Summer's Day,Bert Stern,1959,
Third Man on the Mountain,Ken Annakin,1959,
No Name on the Bullet,Jack Arnold,1959,
Face of Fire,Albert Band,1959,
Impulses,James Davis,1959,
Curse of the Undead,Edward Dein,1959,
Moonbird,John Hubley,1959,
The Unforgiven,John Huston,1959,
Journey to the Center of the Earth,Henry Levin,1959,
Odds Against Tomorrow,Robert Wise,1959,
Cry of Jazz,Edward Bland,1959,
Attack of the Giant Leeches,Roger Corman,1959,
A Bucket of Blood,Roger Corman,1959,
The Wasp Woman,Roger Corman,1959,
The Hanging Tree,Delmer Daves,1959,
A Summer Place,Delmer Daves,1959,
Rio Bravo,Howard Hawks,1959,
The FBI Story,Mervyn LeRoy,1959,
Middle of the Night,Delbert Mann,1959,
Imitation of Life,Douglas Sirk,1959,
Cry Tough,Paul Stanley,1959,
Last Train from Gun Hill,John Sturges,1959,
Gidget,Paul Wendkos,1959,
Some Like it Hot,Billy Wilder,1959,
Sirius Remembered,Stan Brakhage,1959,
Day of the Outlaw,AndrÈ de Toth,1959,
Operation Petticoat,Blake Edwards,1959,
The Crimson Kimono,Samuel Fuller,1959,
Verboten!,Samuel Fuller,1959,
City of Fear,Irving Lerner,1959,
The Trap,Norman Panama,1959,
They Came to Cordura,Robert Rossen,1959,
Ben-Hur,William Wyler,1959,
Invisible Invaders,Edward L. Cahn,1959,
House on Haunted Hill,William Castle,1959,
The Tingler,William Castle,1959,
The Man in the Net,Michael Curtiz,1959,
Warlock,Edward Dmytryk,1959,
Sleeping Beauty,Clyde Geronimi,1959,
Pillow Talk,Michael Gordon,1959,
The Last Mile,Howard W. Koch,1959,
On the Beach,Stanley Kramer,1959,
The Best of Everything,Jean Negulesco,1959,
The Wonderful Country,Robert Parrish,1959,
Anatomy of a Murder,Otto Preminger,1959,
Porgy and Bess,Otto Preminger,1959,
Africa Come Back,Lionel Rogosin,1959,
The Diary of Anne Frank,George Stevens,1959,
Al Capone,Richard Wilson,1959,
Paratroop Command,William Witney,1959,
The Nun's Story,Fred Zinnemann,1959,
Ride Lonesome,Budd Boetticher,1959,
Shadows,John Cassavetes,1959,
The Beat Generation,Charles F. Haas,1959,
Pork Chop Hill,Lewis Milestone,1959,
Shake Hands with the Devil,Michael Anderson,1959,
North by Northwest,Alfred Hitchcock,1959,
Darby O'Gill and the Little People,Robert Stevenson,1959,
Compulsion,Richard Fleischer,1959,
These Thousand Hills,Richard Fleischer,1959,
The World,Ranald MacDougall,1959,
The Five Pennies,Melville Shavelson,1959,
Plan 9 from Outer Space,Edward D. Wood Jr.,1959,
Last Summer Suddenly,Joseph L. Mankiewicz,1959,
Une nuit sur le mont chauve,Alexandre Alexeieff & Claire Parker,1933,Night on Bald Mountain
Fanny,Marc Allégret,1932,
Zouzou,Marc Allégret,1934,
Félicie Nanteuil,Marc Allégret,1945,Twilight
Dédée d'Anvers,Yves Allégret,1948,
L'Hirondelle et la Mésange,André Antoine,1920,The Swallow and the Titmouse
Quatre-vingt-treize,Albert Capellani et al.,1921,Ninety-Three
Le Rideau cramoisi,Alexandre Astruc,1953,The Crimson Curtain
Les Mauvaises rencontres,Alexandre Astruc,1955,Bad Liaisons
"Minne, l'ingénue libertine",Jacqueline Audry,1950,
Olivia,Jacqueline Audry,1951,The Pit of Loneliness
Lettres d'amour,Claude Autant-Lara,1942,Love Letters
Le Mariage de Chiffon,Claude Autant-Lara,1942,The Marriage of Chiffon
Douce,Claude Autant-Lara,1943,Love Story
Sylvie et le fantôme,Claude Autant-Lara,1946,Sylvie and the Ghost
Le Diable au corps,Claude Autant-Lara,1947,Devil in the Flesh
Occupe-toi d'Amélie,Claude Autant-Lara,1949,Keep an Eye on Amelia
L'Auberge rouge,Claude Autant-Lara,1951,The Red Inn
La Traversée de Paris,Claude Autant-Lara,1956,Four Bags Full
L'Idée,Berthold Bartosch,1932,The Idea
Goupi mains rouges,Jacques Becker,1943,It Happened at the Inn
Falbalas,Jacques Becker,1945,Paris Frills
Antoine et Antoinette,Jacques Becker,1947,Antoine and Antoinette
Rendez-vous de juillet,Jacques Becker,1949,Rendezvous in July
Édouard et Caroline,Jacques Becker,1951,Edward and Caroline
Casque d'or,Jacques Becker,1952,Golden Marie
Touchez pas au grisbi,Jacques Becker,1954,Honour Among Thieves
La Maternelle,Jean Benoît-Lévy & Marie Epstein,1933,Children of Montmartre
Les Trois Valses,Ludwig Berger,1938,Three Waltzes
Le Miracle des loups,Raymond Bernard,1924,The Miracle of the Wolves
Le Joueur d'échecs,Raymond Bernard,1927,The Chess Player
Faubourg Montmartre,Raymond Bernard,1931,
Les Croix de bois,Raymond Bernard,1932,Wooden Crosses
Les Misérables,Raymond Bernard,1934,
J'étais une aventurière,Raymond Bernard,1938,I Was an Adventuress
Adieu chérie,Raymond Bernard,1946,Goodbye Darling
Monsieur Coccinelle,Dominique Bernard-Deschamps,1938,
La môme vert-de-gris,Bernard Borderie,1953,Poison Ivy
Les Astronautes,Walerian Borowczyk & Chris Marker,1959,
Prends la route,Jean Boyer,1936,Take the Road
Circonstances attenuantes,Jean Boyer,1939,Extenuating Circumstances
Nous irons a Paris,Jean Boyer,1950,We Will All Go to Paris
Les Anges du péché,Robert Bresson,1943,Angels of Sin
Les Dames du Bois de Boulogne,Robert Bresson,1945,The Ladies of the Bois de Boulogne
Journal d'un curé de campagne,Robert Bresson,1951,Diary of a Country Priest
Un condamné à mort s'est échappé ou Le vent souffle où il veut,Robert Bresson,1956,A Man Escaped
Pickpocket,Robert Bresson,1959,
Procès de Jeanne d'Arc,Robert Bresson,1962,Trial of Joan of Arc
Au hasard Balthazar,Robert Bresson,1966,
Mouchette,Robert Bresson,1967,
Une femme douce,Robert Bresson,1969,A Gentle Woman
Quatre nuits d'un rêveur,Robert Bresson,1971,Four Nights of a Dreamer
Lancelot du Lac,Robert Bresson,1974,Lancelot of the Lake
Le Diable probablement,Robert Bresson,1977,"The Devil, Probably"
L'Argent,Robert Bresson,1983,
Un chien andalou,Luis Buñuel,1928,An Andalusian Dog
L'Âge d'or,Luis Buñuel,1930,The Golden Age
Las Hurdes,Luis Buñuel,1932,Land Without Bread
Gran Casino,Luis Buñuel,1947,Magnificent Casino
El gran calavera,Luis Buñuel,1949,The Great Madcap
Los olvidados,Luis Buñuel,1950,The Young and the Damned
Susana,Luis Buñuel,1951,
Subida al cielo,Luis Buñuel,1952,Mexican Bus Ride
Robinson Crusoe,Luis Buñuel,1952,
Él,Luis Buñuel,1953,This Strange Passion
La ilusión viaja en tranvía,Luis Buñuel,1953,Illusion Travels by Streetcar
Abismos de pasión,Luis Buñuel,1954,Wuthering Heights
Ensayo de un crimen,Luis Buñuel,1955,The Criminal Life of Archibaldo de la Cruz
La Mort en ce jardin,Luis Buñuel,1956,Death in the Garden
Cela s'appelle l'aurore,Luis Buñuel,1956,That Is the Dawn
Nazarín,Luis Buñuel,1958,
La fièvre monte à El Pao,Luis Buñuel,1959,Republic of Sin
The Young One,Luis Buñuel,1960,
Viridiana,Luis Buñuel,1961,
El ángel exterminador,Luis Buñuel,1962,The Exterminating Angel
Le Journal d'une femme de chambre,Luis Buñuel,1964,Diary of a Chambermaid
Simón del desierto,Luis Buñuel,1965,Simon of the Desert
Belle de jour,Luis Buñuel,1967,
La Voie lactée,Luis Buñuel,1969,The Milky Way
Tristana,Luis Buñuel,1970,
Le Charme discret de la bourgeoisie,Luis Buñuel,1972,The Discreet Charm of the Bourgeoisie
Le Fantôme de la liberté,Luis Buñuel,1974,The Phantom of Liberty
Cet obscur objet du désir,Luis Buñuel,1977,That Obscure Object of Desire
Jericho,Henri Calef,1946,
Les Chouans,Henri Calef,1947,The Royalists
Henri Matisse,Francois Campaux,1946,
Drôle de drame,Marcel Carné,1937,"Bizarre, Bizarre"
Hôtel du Nord,Marcel Carné,1938,
Le Quai des brumes,Marcel Carné,1938,Port of Shadows
Le jour se lève,Marcel Carné,1939,Daybreak
Les Visiteurs du soir,Marcel Carné,1942,The Devil's Envoys
Les Enfants du paradis,Marcel Carné,1945,Children of Paradise
Les Portes de la nuit,Marcel Carné,1946,Gates of the Night
La Marie du port,Marcel Carné,1951,
Thérèse Raquin,Marcel Carné,1953,
Les Tricheurs,Marcel Carné,1958,Young Sinners
Trois chambres à Manhattan,Marcel Carné,1965,Three Rooms in Manhattan
Rien que les heures,Alberto Cavalcanti,1926,Nothing But Time
Justice est faite,André Cayatte,1950,
Le Beau Serge,Claude Chabrol,1958,
À double tour,Claude Chabrol,1959,Web of Passion
Les Cousins,Claude Chabrol,1959,
Les Bonnes Femmes,Claude Chabrol,1960,
Les Godelureaux,Claude Chabrol,1961,Wise Guys
L'Œil du Malin,Claude Chabrol,1962,The Third Lover
Les Biches,Claude Chabrol,1968,
La Femme infidèle,Claude Chabrol,1969,The Unfaithful Wife
Que la bête meure,Claude Chabrol,1969,This Man Must Die
Le Boucher,Claude Chabrol,1970,The Butcher
La Rupture,Claude Chabrol,1970,The Breach
Juste avant la nuit,Claude Chabrol,1971,Just Before Nightfall
La Décade prodigieuse,Claude Chabrol,1972,Ten Days' Wonder
Les Noces rouges,Claude Chabrol,1973,Wedding in Blood
Nada,Claude Chabrol,1974,The Nada Gang
Les Innocents aux mains sales,Claude Chabrol,1975,Innocents with Dirty Hands
Une partie de plaisir,Claude Chabrol,1975,Pleasure Party
Alice ou la Dernière Fugue,Claude Chabrol,1977,Alice or the Last Escapade
Violette Nozière,Claude Chabrol,1978,
Le Cri du hibou,Claude Chabrol,1987,The Cry of the Owl
Une affaire de femmes,Claude Chabrol,1988,Story of Women
Madame Bovary,Claude Chabrol,1991,
La Cérémonie,Claude Chabrol,1995,
Au cœur du mensonge,Claude Chabrol,1998,The Color of Lies
Merci pour le chocolat,Claude Chabrol,2000,Nightcap
La Demoiselle d'honneur,Claude Chabrol,2004,The Bridesmaid
Bellamy,Claude Chabrol,2009,Inspector Bellamy
